n_count,grasp_id,grasp,choice,source
0,coffecan/ff21fec1,coffecan/ff21fec1-3b36-4811-a015-0c03e7b6ced5,Precision/Parallel Extension,373df117-6c94-47ec-974d-303d2f837e78
1,coffecan/ff21fec1,coffecan/ff21fec1-3b36-4811-a015-0c03e7b6ced5,Power/Fixed Hook,d5bd932a-76bd-4649-ae30-2712d9bc094a
2,coffecan/82867da1,coffecan/82867da1-b57c-4819-88b2-9a96a53bd95d,Power/Small Diameter,d5bd932a-76bd-4649-ae30-2712d9bc094a
3,coffecan/19112c83,coffecan/19112c83-09ab-4f0a-9461-4ec75ec20932,Power/Small Diameter,d5bd932a-76bd-4649-ae30-2712d9bc094a
4,coffecan/12591726,coffecan/12591726-2de3-4044-9d8c-d98d6cc40be4,Power/Fixed Hook,d5bd932a-76bd-4649-ae30-2712d9bc094a
5,coffecan/52731af3,coffecan/52731af3-ee98-4b0e-9fb9-34964e232831,Power/Sphere 3-Finger,d5bd932a-76bd-4649-ae30-2712d9bc094a
6,coffecan/9b015bf8,coffecan/9b015bf8-a1f1-4efe-98cf-b9119140c1f6,Power/Sphere 4-Finger,d5bd932a-76bd-4649-ae30-2712d9bc094a
7,coffecan/ff21fec1,coffecan/ff21fec1-3b36-4811-a015-0c03e7b6ced5,Power/Fixed Hook,d5bd932a-76bd-4649-ae30-2712d9bc09f7
8,coffecan/82867da1,coffecan/82867da1-b57c-4819-88b2-9a96a53bd95d,Power/Small Diameter,d5bd932a-76bd-4649-ae30-2712d9bc09f7
9,coffecan/19112c83,coffecan/19112c83-09ab-4f0a-9461-4ec75ec20932,Power/Small Diameter,d5bd932a-76bd-4649-ae30-2712d9bc09f7
10,coffecan/12591726,coffecan/12591726-2de3-4044-9d8c-d98d6cc40be4,Power/Fixed Hook,d5bd932a-76bd-4649-ae30-2712d9bc09f7
11,coffecan/52731af3,coffecan/52731af3-ee98-4b0e-9fb9-34964e232831,Power/Sphere 3-Finger,d5bd932a-76bd-4649-ae30-2712d9bc09f7
12,coffecan/9b015bf8,coffecan/9b015bf8-a1f1-4efe-98cf-b9119140c1f6,Power/Sphere 3-Finger,d5bd932a-76bd-4649-ae30-2712d9bc09f7
